fen,side,wdl,dtz
8/3B4/8/8/8/3k2B1/8/2K5 w - - 0 1,w,2,30
B2k4/8/8/4B3/8/8/8/K7 w - - 0 1,w,2,28
8/8/3B4/8/B7/3k4/8/2K5 w - - 0 1,w,2,28
7B/5B2/8/8/8/7k/8/2K5 w - - 0 1,w,2,26
8/8/8/7B/8/8/2k5/K5B1 w - - 0 1,w,2,22
8/8/8/2B5/8/8/4B3/1K5k w - - 0 1,w,2,18
8/6B1/8/8/8/8/B3k3/2K5 w - - 0 1,w,2,26
1B6/8/1k6/8/8/1B6/8/K7 w - - 0 1,w,2,30
8/8/6k1/8/8/B6B/8/K7 w - - 0 1,w,2,28
k7/8/8/8/8/8/8/K2BB3 w - - 0 1,w,2,26
B7/8/8/8/8/8/3k4/1K4B1 w - - 0 1,w,2,24
1B6/5k2/B7/8/8/8/8/1K6 w - - 0 1,w,2,28
B3k3/8/8/8/7B/8/8/K7 w - - 0 1,w,2,30
8/8/4k3/8/8/8/5B2/K2B4 w - - 0 1,w,2,32
8/8/8/1k6/1B6/8/B7/2K5 w - - 0 1,w,2,28
7k/8/8/2B5/8/8/8/K2B4 w - - 0 1,w,2,28
8/4B3/8/8/8/8/8/K4k2 w - - 0 1,w,0,0
8/8/5k2/3B4/8/8/8/1KB5 w - - 0 1,w,2,30
8/8/4k3/8/8/8/2B5/B1K5 w - - 0 1,w,2,30
8/8/3B4/8/6B1/8/8/2K4k w - - 0 1,w,2,14
1k6/8/5B2/5B2/8/8/8/K7 w - - 0 1,w,2,22
8/8/8/3B2B1/8/k7/8/1K6 w - - 0 1,w,2,12
8/8/k7/5B2/8/6B1/8/K7 w - - 0 1,w,2,24
8/8/8/k7/8/6B1/8/2K5 w - - 0 1,w,0,0
8/8/8/3B4/8/8/1B6/K5k1 w - - 0 1,w,2,24
k7/8/8/1B6/8/6B1/8/K7 w - - 0 1,w,2,22
3B4/8/2B5/8/8/6k1/8/1K6 w - - 0 1,w,2,30
3B4/8/8/8/2k1B3/8/8/1K6 w - - 0 1,w,2,26
8/8/8/6k1/8/8/7B/KB6 w - - 0 1,w,2,28
