fen,wdl,dtz
8/4k3/8/8/8/8/8/3K4 b - - 0 1,0,
8/5k2/8/8/8/8/8/3K4 w - - 0 1,0,
8/5k2/8/8/8/8/8/3K4 b - - 0 1,0,
8/6k1/8/8/8/8/8/3K4 w - - 0 1,0,
8/6k1/8/8/8/8/8/3K4 b - - 0 1,0,
8/7k/8/8/8/8/8/3K4 w - - 0 1,0,
8/7k/8/8/8/8/8/3K4 b - - 0 1,0,
k7/8/8/8/8/8/8/3K4 w - - 0 1,0,
k7/8/8/8/8/8/8/3K4 b - - 0 1,0,
1k6/8/8/8/8/8/8/3K4 w - - 0 1,0,
1k6/8/8/8/8/8/8/3K4 b - - 0 1,0,
2k5/8/8/8/8/8/8/3K4 w - - 0 1,0,
